provincescode,bpscode,provincesname
ID.AC.SI,1101,"Simeulue, Kab."
ID.AC.AK,1102,"Aceh Singkil, Kab."
ID.AC.AS,1103,"Aceh Selatan, Kab."
ID.AC.AG,1104,"Aceh Tenggara, Kab."
ID.AC.AI,1105,"Aceh Timur, Kab."
ID.AC.AT,1106,"Aceh Tengah, Kab."
ID.AC.AB,1107,"Aceh Barat, Kab."
ID.AC.AR,1108,"Aceh Besar, Kab."
ID.AC.PI,1109,"Pidie, Kab."
ID.AC.BI,1110,"Bireuen, Kab."
ID.AC.AU,1111,"Aceh Utara, Kab."
ID.AC.AD,1112,"Aceh Barat Daya, Kab."
ID.AC.GL,1113,"Gayo Lues, Kab."
ID.AC.AM,1114,"Aceh Tamiang, Kab."
ID.AC.NR,1115,"Nagan Raya, Kab."
ID.AC.AJ,1116,"Aceh Jaya, Kab."
ID.AC.BM,1117,"Bener Meriah, Kab."
ID.AC.PJ,1118,"Pidie Jaya, Kab."
ID.AC.BA,1171,"Banda Aceh, Kota"
ID.AC.SA,1172,"Sabang, Kota"
ID.AC.LA,1173,"Langsa, Kota"
ID.AC.LH,1174,"Lhokseumawe, Kota"
ID.AC.SB,1175,"Subulussalam, Kota"
ID.SU.NI,1201,"Nias, Kab."
ID.SU.MN,1202,"Mandailing Natal, Kab"
ID.SU.TS,1203,"Tapanuli Selatan, Kab."
ID.SU.TT,1204,"Tapanuli Tengah, Kab."
ID.SU.TU,1205,"Tapanuli Utara, Kab."
ID.SU.TR,1206,"Toba Samosir, Kab."
ID.SU.LB,1207,"Labuhan Batu, Kab."
ID.SU.AS,1208,"Asahan, Kab."
ID.SU.SM,1209,"Simalungun, Kab."
ID.SU.DA,1210,"Dairi, Kab."
ID.SU.KA,1211,"Karo, Kab."
ID.SU.DS,1212,"Deli Serdang, Kab."
ID.SU.LA,1213,"Langkat, Kab."
ID.SU.NS,1214,"Nias Selatan, Kab."
ID.SU.HH,1215,"Humbang Hasundutan, Kab."
ID.SU.PB,1216,"Pakpak Bharat, Kab."
ID.SU.SA,1217,"Samosir, Kab."
ID.SU.SD,1218,"Serdang Bedagai, Kab."
ID.SU.BB,1219,"Batu Bara, Kab."
ID.SU.PU,1220,"Padang Lawas Utara, Kab."
ID.SU.PL,1221,"Padang Lawas, Kab."
ID.SU.LU,1222,"Labuhan Batu Selatan, Kab."
ID.SU.BU,1223,"Labuhan Batu Utara, Kab."
ID.SU.NU,1224,"Nias Utara, Kab."
ID.SU.NB,1225,"Nias Barat, Kab."
ID.SU.SB,1271,"Sibolga, Kota"
ID.SU.TB,1272,"Tanjung Balai, Kota"
ID.SU.PS,1273,"Pematang Siantar, Kota"
ID.SU.TG,1274,"Tebing Tinggi, Kota"
ID.SU.ME,1275,"Medan, Kota"
ID.SU.BI,1276,"Binjai, Kota"
ID.SU.PD,1277,"Padang Sidempuan, Kota"
ID.SU.GS,1278,"Gunung Sitoli, Kota"
ID.SB.KM,1301,"Kepulauan Mentawai, Kab."
ID.SB.PS,1302,"Pesisir Selatan, Kab."
ID.SB.SM,1303,"Solok, Kab."
ID.SB.SJ,1304,"Sijunjung, Kab."
ID.SB.TD,1305,"Tanah Datar, Kab."
ID.SB.PP,1306,"Padang Pariaman, Kab."
ID.SB.AG,1307,"Agam, Kab."
ID.SB.LP,1308,"Limapuluh Kota, Kab"
ID.SB.PM,1309,"Pasaman, Kab"
ID.SB.SK,1310,"Solok Selatan, Kab."
ID.SB.DH,1311,"Dharmasraya, Kab."
ID.SB.PB,1312,"Pasaman Barat, Kab."
ID.SB.PD,1371,"Padang, Kota"
ID.SB.SO,1372,"Solok, Kota"
ID.SB.SL,1373,"Sawahlunto, Kota"
ID.SB.PJ,1374,"Padang Panjang, Kota"
ID.SB.BU,1375,"Bukittinggi, Kota"
ID.SB.PY,1376,"Payakumbuh, Kota"
ID.SB.PA,1377,"Pariaman, Kota"
ID.RI.KS,1401,"Kuantan Singingi, Kab."
